"","X1","chnum","sectnum","text","label","filename"
"20",20,1,20,"frqleakage","<U+0420><U+0430><U+0441><U+0442><U+0435><U+043A><U+0430><U+043D><U+0438><U+0435> <U+0447><U+0430><U+0441><U+0442><U+043E><U+0442><U+044B> <U+0432> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+043E><U+0433><U+0440><U+0430><U+043C><U+043C><U+0435> <U+0438> <U+043C><U+0435><U+0442><U+043E><U+0434><U+044B> <U+0435><U+0433><U+043E> <U+0443><U+0441><U+0442><U+0440><U+0430><U+043D><U+0435><U+043D><U+0438><U+044F>","ch1-sect20-frqleakage.tex"
"21",21,1,21,"trregr","<U+0412><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430> <U+0441> <U+043F><U+043E><U+043C><U+043E><U+0449><U+044C><U+044E> <U+043F><U+0430><U+0440><U+0430><U+043C><U+0435><U+0442><U+0440><U+0438><U+0447><U+0435><U+0441><U+043A><U+043E><U+0439> <U+0440><U+0435><U+0433><U+0440><U+0435><U+0441><U+0441><U+0438><U+0438>","ch1-sect21-trregr.tex"
"22",22,1,22,"trloess","<U+0412><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430> <U+0441> <U+043F><U+043E><U+043C><U+043E><U+0449><U+044C><U+044E> <U+043C><U+0435><U+0442><U+043E><U+0434><U+0430> LOESS","ch1-sect22-trloess.tex"
"23",23,1,23,"trenvelope","<U+041D><U+0430><U+0445><U+043E><U+0436><U+0434><U+0435><U+043D><U+0438><U+0435> <U+043E><U+0433><U+0438><U+0431><U+0430><U+044E><U+0449><U+0435><U+0439> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+0438><U+0447><U+0435><U+0441><U+043A><U+043E><U+0433><U+043E> <U+0440><U+044F><U+0434><U+0430> <U+0441> <U+043F><U+043E><U+043C><U+043E><U+0449><U+044C><U+044E> <U+0432><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+044F> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>","ch1-sect23-trenvelope.tex"
"24",24,1,24,"trvar","<U+041E><U+0446><U+0435><U+043D><U+0438><U+0432><U+0430><U+043D><U+0438><U+0435> <U+043F><U+043E><U+0432><U+0435><U+0434><U+0435><U+043D><U+0438><U+044F> <U+0434><U+0438><U+0441><U+043F><U+0435><U+0440><U+0441><U+0438><U+0438> <U+0448><U+0443><U+043C><U+0430> <U+0441> <U+043F><U+043E><U+043C><U+043E><U+0449><U+044C><U+044E> <U+0432><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+044F> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>","ch1-sect24-trvar.tex"
"25",25,1,25,"decompose","<U+041C><U+0435><U+0442><U+043E><U+0434> <U+0440><U+0430><U+0437><U+043B><U+043E><U+0436><U+0435><U+043D><U+0438><U+044F> Classical seasonal decomposition","ch1-sect25-decompose.tex"
"26",26,1,26,"stl","<U+041C><U+0435><U+0442><U+043E><U+0434> <U+0440><U+0430><U+0437><U+043B><U+043E><U+0436><U+0435><U+043D><U+0438><U+044F> STL","ch1-sect26-stl.tex"
"27",27,2,1,"winlen","<U+041A><U+0430><U+043A> <U+0432><U+044B><U+0431><U+0438><U+0440><U+0430><U+0442><U+044C> L","ch2-sect01-winlen.tex"
"28",28,2,2,"seqssa","<U+041F><U+043E><U+0441><U+043B><U+0435><U+0434><U+043E><U+0432><U+0430><U+0442><U+0435><U+043B><U+044C><U+043D><U+044B><U+0439> SSA","ch2-sect02-seqssa.tex"
"29",29,2,3,"convergence","<U+0421><U+043B><U+0430><U+0431><U+0430><U+044F> <U+0438> <U+0441><U+0438><U+043B><U+044C><U+043D><U+0430><U+044F> <U+0440><U+0430><U+0437><U+0434><U+0435><U+043B><U+0438><U+043C><U+043E><U+0441><U+0442><U+044C>","ch2-sect03-convergence.tex"
"30",30,2,4,"compmessconv","<U+041E><U+043F><U+0440><U+0435><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+0441><U+0438><U+043B><U+044C><U+043D><U+043E><U+0439> <U+0438> <U+0441><U+043B><U+0430><U+0431><U+043E><U+0439> <U+0440><U+0430><U+0437><U+0434><U+0435><U+043B><U+0438><U+043C><U+043E><U+0441><U+0442><U+0438> <U+043F><U+0440><U+0438> <U+0441><U+043C><U+0435><U+0448><U+0438><U+0432><U+0430><U+043D><U+0438><U+0438> <U+043A><U+043E><U+043C><U+043F><U+043E><U+043D><U+0435><U+043D><U+0442>","ch2-sect04-compmessconv.tex"
"31",31,2,5,"trendid","<U+0418><U+0434><U+0435><U+043D><U+0442><U+0438><U+0444><U+0438><U+043A><U+0430><U+0446><U+0438><U+044F> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>","ch2-sect05-trendid.tex"
"32",32,2,6,"seasonid","<U+0418><U+0434><U+0435><U+043D><U+0442><U+0438><U+0444><U+0438><U+043A><U+0430><U+0446><U+0438><U+044F> <U+043F><U+0435><U+0440><U+0438><U+043E><U+0434><U+0438><U+0447><U+043D><U+043E><U+0441><U+0442><U+0438> (<U+0441><U+0435><U+0437><U+043E><U+043D><U+043D><U+043E><U+0441><U+0442><U+0438>)","ch2-sect06-seasonid.tex"
"33",33,2,7,"wcor","<U+0418><U+0441><U+043F><U+043E><U+043B><U+044C><U+0437><U+043E><U+0432><U+0430><U+043D><U+0438><U+0435> <U+043C><U+0430><U+0442><U+0440><U+0438><U+0446><U+044B> <U+0432><U+0437><U+0432><U+0435><U+0448><U+0435><U+043D><U+043D><U+044B><U+0445> <U+043A><U+043E><U+0440><U+0440><U+0435><U+043B><U+044F><U+0446><U+0438><U+0439>","ch2-sect07-wcor.tex"
"34",34,2,8,"basiccomp","<U+042D><U+043B><U+0435><U+043C><U+0435><U+043D><U+0442><U+0430><U+0440><U+043D><U+044B><U+0435> <U+0432><U+043E><U+0441><U+0441><U+0442><U+0430><U+043D><U+043E><U+0432><U+043B><U+0435><U+043D><U+043D><U+044B><U+0435> <U+043A><U+043E><U+043C><U+043F><U+043E><U+043D><U+0435><U+043D><U+0442><U+044B>","ch2-sect08-basiccomp.tex"
"35",35,2,9,"charpoly","<U+041A><U+043E><U+0440><U+043D><U+0438> <U+0445><U+0430><U+0440><U+0430><U+043A><U+0442><U+0435><U+0440><U+0438><U+0441><U+0442><U+0438><U+0447><U+0435><U+0441><U+043A><U+043E><U+0433><U+043E> <U+043F><U+043E><U+043B><U+0438><U+043D><U+043E><U+043C><U+0430>: <U+0441><U+0438><U+0433><U+043D><U+0430><U+043B><U+044C><U+043D><U+044B><U+0435> <U+0438> <U+043B><U+0438><U+0448><U+043D><U+0438><U+0435>","ch2-sect09-charpoly.tex"
"36",36,2,10,"paramest","<U+041E><U+0446><U+0435><U+043D><U+043A><U+0430> <U+043F><U+0430><U+0440><U+0430><U+043C><U+0435><U+0442><U+0440><U+043E><U+0432> <U+0432> SSA","ch2-sect10-paramest.tex"
"37",37,2,11,"forecast","<U+041F><U+0440><U+043E><U+0433><U+043D><U+043E><U+0437>","ch2-sect11-forecast.tex"
"38",38,2,12,"confint","<U+0414><U+043E><U+0432><U+0435><U+0440><U+0438><U+0442><U+0435><U+043B><U+044C><U+043D><U+044B><U+0435> <U+0438><U+043D><U+0442><U+0435><U+0440><U+0432><U+0430><U+043B><U+044B>","ch2-sect12-confint.tex"
"39",39,2,13,"autoid","<U+0410><U+0432><U+0442><U+043E><U+043C><U+0430><U+0442><U+0438><U+0447><U+0435><U+0441><U+043A><U+0430><U+044F> <U+0438><U+0434><U+0435><U+043D><U+0442><U+0438><U+0444><U+0438><U+043A><U+0430><U+0446><U+0438><U+044F>","ch2-sect13-autoid.tex"
"40",40,2,14,"fillmissing","<U+0417><U+0430><U+043F><U+043E><U+043B><U+043D><U+0435><U+043D><U+0438><U+0435> <U+043F><U+0440><U+043E><U+043F><U+0443><U+0441><U+043A><U+043E><U+0432>","ch2-sect14-fillmissing.tex"
"41",41,2,15,"toeplitzssa","<U+0422><U+0435><U+043F><U+043B><U+0438><U+0446><U+0435><U+0432> SSA <U+0434><U+043B><U+044F> <U+0441><U+0442><U+0430><U+0446><U+0438><U+043E><U+043D><U+0430><U+0440><U+043D><U+044B><U+0445> <U+0440><U+044F><U+0434><U+043E><U+0432>","ch2-sect15-toeplitzssa.tex"
"42",42,2,16,"projssa","Projection SSA, <U+0432><U+044B><U+0434><U+0435><U+043B><U+0435><U+043D><U+0438><U+0435> <U+043B><U+0438><U+043D><U+0435><U+0439><U+043D><U+043E><U+0433><U+043E> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>","ch2-sect16-projssa.tex"
"43",43,2,17,"iossafossa","Iterative O-SSA <U+0438> DerivSSA","ch2-sect17-iossafossa.tex"
"44",44,2,18,"cadzowssa","<U+0410><U+043F><U+043F><U+0440><U+043E><U+043A><U+0441><U+0438><U+043C><U+0430><U+0446><U+0438><U+044F> Cadzow SSA","ch2-sect18-cadzowssa.tex"
"45",45,2,19,"mssa","MSSA <U+0434><U+043B><U+044F> <U+0430><U+043D><U+0430><U+043B><U+0438><U+0437><U+0430> <U+043C><U+043D><U+043E><U+0433><U+043E><U+043C><U+0435><U+0440><U+043D><U+044B><U+0445> <U+0432><U+0440><U+0435><U+043C><U+0435><U+043D><U+043D><U+044B><U+0445> <U+0440><U+044F><U+0434><U+043E><U+0432>","ch2-sect19-mssa.tex"
"46",46,2,20,"2dssa","2D-SSA <U+0434><U+043B><U+044F> <U+0440><U+0430><U+0437><U+043B><U+043E><U+0436><U+0435><U+043D><U+0438><U+044F> <U+0438><U+0437><U+043E><U+0431><U+0440><U+0430><U+0436><U+0435><U+043D><U+0438><U+044F>","ch2-sect20-2dssa.tex"
"47",47,3,1,"ar","AR(p) --- <U+043C><U+043E><U+0434><U+0435><U+043B><U+044C>, <U+0437><U+0430><U+043F><U+0438><U+0441><U+044C> <U+0432> <U+0432><U+0438><U+0434><U+0435> <U+0441> <U+043E><U+043F><U+0435><U+0440><U+0430><U+0442><U+043E><U+0440><U+043E><U+043C> <U+0441><U+0434><U+0432><U+0438><U+0433><U+0430>","ch3-sect01-ar.tex"
"48",48,3,2,"arssa","AR(p) <U+0438> <U+043C><U+043E><U+0434><U+0435><U+043B><U+044C> <U+0441><U+0438><U+0433><U+043D><U+0430><U+043B><U+0430> <U+0432> SSA","ch3-sect02-arssa.tex"
"49",49,3,3,"aracf","<U+0412><U+0438><U+0434> <U+0430><U+0432><U+0442><U+043E><U+043A><U+043E><U+0432><U+0430><U+0440><U+0438><U+0430><U+0446><U+0438><U+043E><U+043D><U+043D><U+043E><U+0439> <U+0444><U+0443><U+043D><U+043A><U+0446><U+0438><U+0438> acf <U+0434><U+043B><U+044F> AR(p)","ch3-sect03-aracf.tex"
"50",50,3,4,"arpacf","<U+0412><U+0438><U+0434> pacf <U+0434><U+043B><U+044F> AR(p)","ch3-sect04-arpacf.tex"
"51",51,3,5,"maacfpacf","<U+041C><U+043E><U+0434><U+0435><U+043B><U+044C> MA(q), <U+0432><U+0438><U+0434> acf <U+0438> pacf","ch3-sect05-maacfpacf.tex"
"52",52,3,6,"arma","ARMA(p,q)","ch3-sect06-arma.tex"
"53",53,3,7,"arima","<U+0414><U+0438><U+0444><U+0444><U+0435><U+0440><U+0435><U+043D><U+0446><U+0438><U+0440><U+043E><U+0432><U+0430><U+043D><U+0438><U+0435>, ARIMA(p,d,q)","ch3-sect07-arima.tex"
"54",54,3,8,"sarima","Seasonal ARIMA(p,d,q)(P,D,Q)","ch3-sect08-sarima.tex"
"55",55,3,9,"esarima","Exponential smoothing, <U+043C><U+043E><U+0434><U+0435><U+043B><U+0438> <U+0442><U+0440><U+0435><U+043D><U+0434><U+0430>, ES <U+0438> ARIMA","ch3-sect09-esarima.tex"
